ts,open,high,low,close,volume,spread
2021-07-23 12:00:00+00:00,1795.578,1796.808,1795.278,1796.558,888,0.37690653153152437
2021-07-23 12:05:00+00:00,1796.598,1796.618,1795.488,1795.758,717,0.3705453277545398
2021-07-23 12:10:00+00:00,1795.758,1796.288,1795.458,1795.828,563,0.4142273534635815
2021-07-23 12:15:00+00:00,1795.838,1795.908,1794.048,1794.328,678,0.4051769911504335
2021-07-23 12:20:00+00:00,1794.308,1795.758,1792.788,1795.388,1033,0.40484123910938946
2021-07-23 12:25:00+00:00,1795.408,1797.298,1795.228,1796.908,825,0.38875515151514484
2021-07-23 12:30:00+00:00,1796.938,1799.308,1796.778,1798.568,1166,0.37298198970840574
2021-07-23 12:35:00+00:00,1798.568,1802.298,1798.568,1802.158,1032,0.3706996124031046
2021-07-23 12:40:00+00:00,1802.128,1803.248,1801.674,1802.578,1167,0.36560068551842734
2021-07-23 12:45:00+00:00,1802.598,1804.848,1802.498,1803.138,1221,0.34434807534807876
2021-07-23 12:50:00+00:00,1803.098,1803.818,1802.968,1803.758,767,0.34782398956973326
2021-07-23 12:55:00+00:00,1803.718,1804.128,1802.818,1802.828,805,0.3280447204969012
2021-07-23 13:00:00+00:00,1803.018,1803.988,1802.518,1803.218,1161,0.3429767441860447
2021-07-23 13:05:00+00:00,1803.298,1803.328,1801.438,1802.408,905,0.335633149171273
2021-07-23 13:10:00+00:00,1802.468,1803.848,1802.319,1802.928,730,0.3625753424657501
2021-07-23 13:15:00+00:00,1802.959,1803.188,1800.518,1800.558,824,0.3638313106796095
2021-07-23 13:20:00+00:00,1800.588,1802.048,1800.494,1801.974,810,0.3844283950617328
2021-07-23 13:25:00+00:00,1801.974,1802.028,1800.248,1800.568,728,0.3571881868131745
2021-07-23 13:30:00+00:00,1800.448,1800.828,1799.188,1799.788,1423,0.38908643710470986
2021-07-23 13:35:00+00:00,1799.724,1799.758,1797.628,1797.698,1417,0.3722018348623772
2021-07-23 13:40:00+00:00,1797.678,1798.398,1796.988,1798.228,1232,0.3765137987012995
2021-07-23 13:45:00+00:00,1798.225,1800.338,1798.225,1799.598,1702,0.3705710928319578
2021-07-23 13:50:00+00:00,1799.598,1801.628,1798.858,1800.738,1604,0.3992331670822928
2021-07-23 13:55:00+00:00,1800.738,1802.648,1800.738,1802.088,1285,0.35548171206225226
2021-07-23 14:00:00+00:00,1802.088,1802.418,1799.508,1799.628,1321,0.3908107494322469
2021-07-23 14:05:00+00:00,1799.658,1800.078,1798.468,1798.638,999,0.3883673673673656
2021-07-23 14:10:00+00:00,1798.708,1799.408,1796.698,1799.388,1370,0.3713474452554808
2021-07-23 14:15:00+00:00,1799.275,1799.958,1798.348,1798.868,946,0.36875158562367616
2021-07-23 14:20:00+00:00,1798.948,1799.448,1798.658,1799.238,869,0.3797502876870043
2021-07-23 14:25:00+00:00,1799.258,1799.408,1798.068,1799.128,1041,0.36855235350624904
2021-07-23 14:30:00+00:00,1799.128,1799.648,1797.158,1798.555,1334,0.3633928035981972
